Destinos,Descripcion,Paquetes1,Paquetes2,Paquetes3,Paquetes4,Países
París,La Ciudad de la Luz y la Moda. Descubre la magia de París.,París Romántico,Río Sena en París,París en Primavera,París Romántico y Chic,Francia
Roma,La Ciudad Eterna llena de historia y cultura. ¡Explora Roma!,Roma Antigua,Vaticano y Ruinas en Roma,Roma en Bicicleta,Descubre los Tesoros Antiguos de Roma,Italia
Nueva York,La Gran Manzana. Experimenta la energía de Nueva York.,Nueva York en Broadway,Nueva York en Navidad,Nueva York de Película,Nueva York en Todas las Estaciones,Estados Unidos
Tokio,La capital tecnológica del mundo. Disfruta de la modernidad en Tokio.,Tokio Tecnológico,Anime y Tecnología en Tokio,Tokyo en Cherry Blossom,Tokio Tecnológico y Tradicional,Japón
Barcelona,Destino soleado y lleno de arquitectura única. Bienvenido a Barcelona.,Barcelona Modernista,Arte y Tapas en Barcelona,Barcelona Bohemia,Barcelona Encantadora,España
Londres,La ciudad donde se mezclan la historia y la realeza. Descubre Londres.,Londres Clásico,Londres Bohemio,Londres Literario y Teatral,Londres Histórico y Contemporáneo,Reino Unido
Sídney,Una joya en el Pacífico. Disfruta de la belleza de Sídney.,Aventuras en Sídney,Exploración Costera en Sídney,Sídney Nocturno y Aventurero,Sídney Aventurero y Relajante,Australia
Venecia,La ciudad flotante. Navega por los canales de Venecia.,Venecia Romántica,Venecia en Carnaval,Venecia en la Marea Alta,Venecia Romántica y Auténtica,Italia
Cancún,Paraíso tropical en México. Relájate en las playas de Cancún.,Paraíso en Cancún,Todo lujo Incluido en Cancún,Aventuras Submarinas en Cancún,Playas Privadas en Cancún,México
Atenas,Cuna de la democracia. Descubre la historia en Atenas.,Atenas Aventurera,Atenas en Primavera,Atenas en Otoño,Atenas en la Cima,Grecia
Buenos Aires,La París de América del Sur. Baila el tango en Buenos Aires.,Buenos Aires Tango,Buenos Aires Nocturno,Buenos Aires Gastronómico,Buenos Aires Arte y Tango,Argentina
Ámsterdam,La Venecia del Norte. Explora Ámsterdam y sus canales.,Ámsterdam Bohemio,Ámsterdam de los Canales ,Ámsterdam en Arte Moderno,Ámsterdam Canal y Arte,Países Bajos
